"","chromosome","best_score","best_length"
"chr11.53","chr11",0.588235294117647,600000
"chr11.54","chr11",0.411764705882353,500000
"chr11.55","chr11",0.698924731182796,600000
"chr11.56","chr11",1,700000
"chr11.57","chr11",1,400000
"chr11.58","chr11",1,1300000
"chr11.59","chr11",1,1700000
"chr11.60","chr11",1,700000
"chr11.61","chr11",0.125,300000
"chr11.62","chr11",1,300000
"chr11.63","chr11",1,600000
"chr11.64","chr11",1,300000
"chr11.65","chr11",1,600000
"chr11.66","chr11",1,800000
"chr11.67","chr11",1,900000
"chr11.68","chr11",1,900000
"chr11.69","chr11",1,2900000
"chr11.70","chr11",1,1200000
"chr11.71","chr11",1,1100000
"chr11.72","chr11",1,700000
"chr11.73","chr11",1,1000000
"chr11.74","chr11",1,900000
"chr11.75","chr11",1,400000
"chr11.76","chr11",0.769230769230769,600000
"chr11.77","chr11",1,500000
"chr11.78","chr11",1,900000
"chr11.79","chr11",1,3000000
"chr11.80","chr11",1,1000000
"chr11.81","chr11",1,1100000
"chr11.82","chr11",1,800000
"chr11.83","chr11",1,700000
"chr11.84","chr11",1,4700000
"chr11.85","chr11",0.333333333333333,1000000
"chr11.86","chr11",1,1500000
"chr11.87","chr11",0.024390243902439,900000
"chr11.88","chr11",1,1400000
"chr11.89","chr11",1,1600000
"chr11.90","chr11",0.672131147540984,400000
"chr11.91","chr11",1,1000000
"chr11.92","chr11",0.0952380952380952,900000
"chr11.93","chr11",0.412698412698413,600000
"chr11.94","chr11",0.941798941798942,1000000
"chr11.95","chr11",0.695652173913043,600000
"chr11.96","chr11",1,1200000
"chr11.97","chr11",1,1200000
"chr11.98","chr11",1,2100000
"chr11.99","chr11",1,700000
"chr11.100","chr11",0.630434782608696,800000
"chr11.101","chr11",0.369565217391304,400000
"chr11.102","chr11",0.9,600000
"chr11.103","chr11",1,900000
"chr11.104","chr11",1,500000
"chr11.105","chr11",0.368421052631579,500000
"chr11.106","chr11",1,1000000
"chr11.107","chr11",1,800000
"chr11.108","chr11",0.833333333333333,700000
"chr11.109","chr11",1,1600000
"chr11.110","chr11",1,600000
"chr11.111","chr11",1,800000
"chr11.112","chr11",1,1100000
"chr11.113","chr11",0.806451612903226,800000
"chr11.114","chr11",1,1300000
"chr11.115","chr11",1,800000
"chr11.116","chr11",1,1300000
"chr11.117","chr11",NA,NA
"chr11.118","chr11",NA,NA
"chr11.119","chr11",NA,NA
"chr11.120","chr11",NA,NA
"chr11.121","chr11",NA,NA
"chr11.122","chr11",NA,NA
"chr11.123","chr11",NA,NA
"chr11.124","chr11",NA,NA
"chr11.125","chr11",NA,NA
"chr12.1","chr12",0,300000
"chr12.2","chr12",1,600000
"chr12.3","chr12",1,800000
"chr12.4","chr12",1,200000
"chr12.5","chr12",1,800000
"chr12.6","chr12",0.304347826086957,300000
"chr12.7","chr12",1,700000
"chr12.8","chr12",1,1000000
"chr12.9","chr12",1,1500000
"chr12.10","chr12",0.807692307692308,400000
"chr12.11","chr12",1,1200000
"chr12.12","chr12",1,800000
"chr12.13","chr12",0.769230769230769,400000
"chr12.14","chr12",1,1000000
"chr12.15","chr12",1,800000
"chr12.16","chr12",1,900000
"chr12.17","chr12",1,1300000
"chr12.18","chr12",1,600000
"chr12.19","chr12",0.4,300000
"chr12.20","chr12",1,1000000
"chr12.21","chr12",1,1900000
"chr12.22","chr12",1,1200000
"chr12.23","chr12",1,2000000
"chr12.24","chr12",1,1500000
"chr12.25","chr12",1,2100000
"chr12.26","chr12",0.6875,600000
"chr12.27","chr12",1,600000
"chr12.28","chr12",1,700000
"chr12.29","chr12",1,900000
"chr12.30","chr12",1,1400000
"chr12.31","chr12",1,400000
"chr12.32","chr12",1,1400000
"chr12.33","chr12",0.411764705882353,200000
"chr12.34","chr12",0.0227272727272727,1200000
"chr12.35","chr12",0.931818181818182,400000
"chr12.36","chr12",1,1600000
"chr12.37","chr12",0.5,1200000
"chr12.38","chr12",1,1700000
"chr12.39","chr12",0,1000000
"chr12.40","chr12",0,500000
"chr12.41","chr12",0.676923076923077,900000
"chr12.42","chr12",1,500000
"chr12.43","chr12",1,1100000
"chr12.44","chr12",1,1000000
"chr12.45","chr12",1,1000000
"chr12.46","chr12",0.41025641025641,700000
"chr12.47","chr12",0.653846153846154,800000
"chr12.48","chr12",0.413333333333333,500000
"chr12.49","chr12",1,600000
"chr12.50","chr12",0,300000
"chr12.51","chr12",0.294117647058824,600000
"chr12.52","chr12",0.782608695652174,400000
"chr12.53","chr12",0.791666666666667,600000
"chr12.54","chr12",1,600000
"chr12.55","chr12",0.617647058823529,400000
"chr12.56","chr12",1,1300000
"chr12.57","chr12",1,700000
"chr12.58","chr12",0.833333333333333,300000
"chr12.59","chr12",1,600000
"chr12.60","chr12",1,1300000
"chr12.61","chr12",1,2800000
"chr12.62","chr12",1,700000
"chr12.63","chr12",0.7,600000
"chr12.64","chr12",1,700000
"chr12.65","chr12",1,1800000
"chr12.66","chr12",1,800000
"chr12.67","chr12",1,1000000
"chr12.68","chr12",0,600000
"chr12.69","chr12",0.954545454545455,900000
"chr12.70","chr12",1,1000000
"chr12.71","chr12",1,700000
"chr12.72","chr12",0.444444444444444,600000
"chr12.73","chr12",1,2400000
"chr12.74","chr12",1,700000
"chr12.75","chr12",1,1300000
"chr12.76","chr12",0.896551724137931,400000
"chr12.77","chr12",1,1000000
"chr12.78","chr12",1,1400000
"chr12.79","chr12",1,900000
"chr12.80","chr12",1,1000000
"chr12.81","chr12",0.159090909090909,1100000
"chr12.82","chr12",1,2100000
"chr12.83","chr12",0.833333333333333,500000
"chr12.84","chr12",1,900000
"chr12.85","chr12",1,600000
"chr12.86","chr12",1,1000000
"chr12.87","chr12",1,1000000
"chr12.88","chr12",0.552631578947368,500000
"chr12.89","chr12",1,700000
"chr12.90","chr12",0.941176470588235,700000
"chr12.91","chr12",1,1600000
"chr12.92","chr12",0.637931034482759,600000
"chr12.93","chr12",0.857142857142857,600000
"chr12.94","chr12",1,700000
"chr12.95","chr12",1,600000
"chr12.96","chr12",0.407407407407407,300000
"chr12.97","chr12",0,700000
"chr12.98","chr12",1,1800000
"chr12.99","chr12",1,600000
"chr12.100","chr12",1,800000
"chr12.101","chr12",1,900000
"chr12.102","chr12",0.206896551724138,700000
"chr12.103","chr12",0.793103448275862,500000
"chr12.104","chr12",0.490196078431373,800000
"chr12.105","chr12",1,900000
"chr12.106","chr12",1,1100000
"chr12.107","chr12",1,900000
"chr12.108","chr12",1,800000
"chr12.109","chr12",0.666666666666667,500000
"chr12.110","chr12",0.728395061728395,800000
"chr12.111","chr12",1,800000
"chr12.112","chr12",1,600000
"chr12.113","chr12",1,400000
"chr12.114","chr12",1,1100000
"chr12.115","chr12",1,1100000
"chr12.116","chr12",1,1300000
"chr12.117","chr12",1,1000000
"chr12.118","chr12",1,700000
"chr12.119","chr12",1,600000
"chr12.120","chr12",1,1200000
"chr12.121","chr12",0.96,400000
"chr12.122","chr12",1,700000
"chr12.123","chr12",1,800000
"chr12.124","chr12",0.307692307692308,400000
"chr12.125","chr12",1,800000
"chr12.126","chr12",0.888888888888889,700000
"chr12.127","chr12",1,5800000
"chr12.128","chr12",1,1400000
"chr12.129","chr12",0.852941176470588,500000
"chr12.130","chr12",0.333333333333333,400000
"chr12.131","chr12",NA,NA
"chr12.132","chr12",NA,NA
"chr12.133","chr12",NA,NA
"chr12.134","chr12",NA,NA
"chr12.135","chr12",NA,NA
"chr12.136","chr12",NA,NA
"chr12.137","chr12",NA,NA
"chr13.1","chr13",0,1000000
"chr13.2","chr13",0,500000
"chr13.3","chr13",0,800000
"chr13.4","chr13",0,600000
"chr13.5","chr13",0,1800000
"chr13.6","chr13",0,300000
"chr13.7","chr13",0,200000
"chr13.8","chr13",0,400000
"chr13.9","chr13",0,700000
"chr13.10","chr13",0,700000
"chr13.11","chr13",0,800000
"chr13.12","chr13",0,700000
"chr13.13","chr13",0,500000
"chr13.14","chr13",0,600000
"chr13.15","chr13",0,900000
"chr13.16","chr13",0,700000
"chr13.17","chr13",0,1000000
"chr13.18","chr13",0,800000
"chr13.19","chr13",0,1100000
"chr13.20","chr13",0,600000
"chr13.21","chr13",0,1300000
"chr13.22","chr13",0,1800000
"chr13.23","chr13",0,800000
"chr13.24","chr13",0.0384615384615385,600000
"chr13.25","chr13",0.961538461538462,1500000
"chr13.26","chr13",1,1000000
"chr13.27","chr13",0.24,700000
"chr13.28","chr13",0.367816091954023,400000
"chr13.29","chr13",0.482758620689655,200000
"chr13.30","chr13",0.517241379310345,1000000
"chr13.31","chr13",1,1200000
"chr13.32","chr13",1,800000
"chr13.33","chr13",0,400000
"chr13.34","chr13",1,600000
"chr13.35","chr13",1,1200000
"chr13.36","chr13",1,1200000
"chr13.37","chr13",1,600000
"chr13.38","chr13",1,4400000
"chr13.39","chr13",1,1800000
"chr13.40","chr13",1,1200000
"chr13.41","chr13",1,1400000
"chr13.42","chr13",1,2500000
"chr13.43","chr13",1,1300000
"chr13.44","chr13",1,1600000
"chr13.45","chr13",1,900000
"chr13.46","chr13",1,1200000
"chr13.47","chr13",1,1200000
"chr13.48","chr13",1,2000000
"chr13.49","chr13",1,1100000
"chr13.50","chr13",1,700000
"chr13.51","chr13",1,800000
"chr13.52","chr13",0.888888888888889,600000
"chr13.53","chr13",1,1100000
"chr13.54","chr13",1,700000
"chr13.55","chr13",0.443708609271523,500000
"chr13.56","chr13",0.556291390728477,1500000
"chr13.57","chr13",1,1400000
"chr13.58","chr13",0.635838150289017,1400000
"chr13.59","chr13",1,2400000
"chr13.60","chr13",0,1100000
"chr13.61","chr13",0,1900000
"chr13.62","chr13",0.831932773109244,1300000
"chr13.63","chr13",1,1900000
"chr13.64","chr13",0.502415458937198,1100000
"chr13.65","chr13",1,2200000
"chr13.66","chr13",0.968253968253968,900000
"chr13.67","chr13",0,700000
"chr13.68","chr13",1,900000
"chr13.69","chr13",0.777777777777778,800000
"chr13.70","chr13",1,1000000
"chr13.71","chr13",1,1000000
"chr13.72","chr13",0.901639344262295,600000
"chr13.73","chr13",0.925,800000
"chr13.74","chr13",1,600000
"chr13.75","chr13",1,1800000
"chr13.76","chr13",0.419753086419753,700000
"chr13.77","chr13",1,1800000
"chr13.78","chr13",0,1000000
"chr13.79","chr13",0.532467532467532,800000
"chr13.80","chr13",0.467532467532468,1300000
"chr13.81","chr13",0,800000
"chr13.82","chr13",1,900000
"chr13.83","chr13",0.62589928057554,1100000
"chr13.84","chr13",0.37410071942446,800000
"chr13.85","chr13",0,200000
"chr13.86","chr13",NA,NA
"chr13.87","chr13",NA,NA
"chr13.88","chr13",NA,NA
"chr14.1","chr14",0,700000
"chr14.2","chr14",0,800000
"chr14.3","chr14",0,600000
"chr14.4","chr14",0,1100000
"chr14.5","chr14",0,900000
"chr14.6","chr14",0,3300000
"chr14.7","chr14",0,1900000
"chr14.8","chr14",0,900000
"chr14.9","chr14",0,1100000
"chr14.10","chr14",0,1200000
"chr14.11","chr14",0,800000
"chr14.12","chr14",0,1300000
"chr14.13","chr14",0,800000
"chr14.14","chr14",0,500000
"chr14.15","chr14",0,1800000
"chr14.16","chr14",0,600000
"chr14.17","chr14",1,5300000
"chr14.18","chr14",0.72,500000
"chr14.19","chr14",1,1100000
"chr14.20","chr14",1,3100000
"chr14.21","chr14",0.897435897435897,900000
"chr14.22","chr14",0.867647058823529,400000
"chr14.23","chr14",1,1100000
"chr14.24","chr14",0.837209302325581,600000
"chr14.25","chr14",1,700000
"chr14.26","chr14",1,1100000
"chr14.27","chr14",0.82,600000
"chr14.28","chr14",1,400000
"chr14.29","chr14",0,200000
"chr14.30","chr14",1,800000
"chr14.31","chr14",1,900000
"chr14.32","chr14",1,800000
"chr14.33","chr14",1,1000000
"chr14.34","chr14",0.09375,400000
"chr14.35","chr14",1,1100000
"chr14.36","chr14",0.358974358974359,700000
"chr14.37","chr14",0,500000
"chr14.38","chr14",1,1200000
"chr14.39","chr14",1,1600000
"chr14.40","chr14",0.342105263157895,1200000
"chr14.41","chr14",1,1100000
"chr14.42","chr14",0.553191489361702,700000
"chr14.43","chr14",0.0212765957446809,400000
"chr14.44","chr14",1,1200000
"chr14.45","chr14",0,800000
"chr14.46","chr14",1,800000
"chr14.47","chr14",1,1200000
"chr14.48","chr14",1,700000
"chr14.49","chr14",1,500000
"chr14.50","chr14",1,1100000
"chr14.51","chr14",0,200000
"chr14.52","chr14",1,700000
"chr14.53","chr14",1,1100000
"chr14.54","chr14",1,2000000
"chr14.55","chr14",1,600000
"chr14.56","chr14",1,6200000
"chr14.57","chr14",1,1300000
"chr14.58","chr14",1,900000
"chr14.59","chr14",1,900000
"chr14.60","chr14",0,300000
"chr14.61","chr14",1,600000
"chr14.62","chr14",1,600000
"chr14.63","chr14",1,900000
"chr14.64","chr14",1,500000
"chr14.65","chr14",1,800000
"chr14.66","chr14",0.454545454545455,800000
"chr14.67","chr14",1,2800000
"chr14.68","chr14",1,600000
"chr14.69","chr14",1,500000
"chr14.70","chr14",1,1200000
"chr14.71","chr14",0.428571428571429,600000
"chr14.72","chr14",1,1100000
"chr14.73","chr14",0.540540540540541,800000
"chr14.74","chr14",1,800000
"chr14.75","chr14",1,800000
"chr14.76","chr14",0.478260869565217,500000
"chr14.77","chr14",NA,NA
"chr14.78","chr14",NA,NA
"chr14.79","chr14",NA,NA
"chr14.80","chr14",NA,NA
"chr14.81","chr14",NA,NA
"chr15.1","chr15",0,1000000
"chr15.2","chr15",0,600000
"chr15.3","chr15",0,4700000
"chr15.4","chr15",0,1900000
"chr15.5","chr15",0,800000
"chr15.6","chr15",0,700000
"chr15.7","chr15",0,1400000
"chr15.8","chr15",0,900000
"chr15.9","chr15",0,1600000
"chr15.10","chr15",0,700000
"chr15.11","chr15",0,700000
"chr15.12","chr15",0,800000
"chr15.13","chr15",0,1300000
"chr15.14","chr15",0,1500000
"chr15.15","chr15",0,1600000
"chr15.16","chr15",0,800000
"chr15.17","chr15",0,600000
"chr15.18","chr15",0.732394366197183,600000
"chr15.19","chr15",0.846715328467153,2600000
"chr15.20","chr15",1,1900000
"chr15.21","chr15",1,800000
"chr15.22","chr15",0,600000
"chr15.23","chr15",0,400000
"chr15.24","chr15",0.147058823529412,600000
"chr15.25","chr15",1,1100000
"chr15.26","chr15",1,1300000
"chr15.27","chr15",0,400000
"chr15.28","chr15",0.533333333333333,600000
"chr15.29","chr15",1,1000000
"chr15.30","chr15",1,700000
"chr15.31","chr15",1,700000
"chr15.32","chr15",1,800000
"chr15.33","chr15",0,600000
"chr15.34","chr15",1,800000
"chr15.35","chr15",0.564102564102564,700000
"chr15.36","chr15",1,500000
"chr15.37","chr15",1,800000
"chr15.38","chr15",1,400000
"chr15.39","chr15",0.297297297297297,800000
"chr15.40","chr15",0.702702702702703,300000
"chr15.41","chr15",1,1200000
"chr15.42","chr15",0.944444444444444,300000
"chr15.43","chr15",0.681818181818182,1200000
"chr15.44","chr15",1,700000
"chr15.45","chr15",0,400000
"chr15.46","chr15",1,1000000
"chr15.47","chr15",1,1000000
"chr15.48","chr15",0,500000
"chr15.49","chr15",1,400000
"chr15.50","chr15",1,1600000
"chr15.51","chr15",1,1200000
"chr15.52","chr15",1,900000
"chr15.53","chr15",1,600000
"chr15.54","chr15",1,900000
"chr15.55","chr15",1,1300000
"chr15.56","chr15",0,700000
"chr15.57","chr15",1,400000
"chr15.58","chr15",1,900000
"chr15.59","chr15",1,700000
"chr15.60","chr15",1,1100000
"chr15.61","chr15",1,800000
"chr15.62","chr15",1,600000
"chr15.63","chr15",1,2400000
"chr15.64","chr15",0.846153846153846,600000
"chr15.65","chr15",1,400000
"chr15.66","chr15",1,600000
"chr15.67","chr15",1,800000
"chr15.68","chr15",1,2000000
"chr15.69","chr15",1,1500000
"chr15.70","chr15",1,700000
"chr15.71","chr15",1,1100000
"chr15.72","chr15",1,2100000
"chr15.73","chr15",1,700000
"chr15.74","chr15",1,700000
"chr15.75","chr15",1,700000
"chr15.76","chr15",1,1400000
"chr15.77","chr15",NA,NA
"chr15.78","chr15",NA,NA
"chr15.79","chr15",NA,NA
"chr15.80","chr15",NA,NA
"chr15.81","chr15",NA,NA
"chr15.82","chr15",NA,NA
"chr15.83","chr15",NA,NA
"chr16.1","chr16",0,700000
"chr16.2","chr16",0,600000
"chr16.3","chr16",0.833333333333333,700000
"chr16.4","chr16",1,1000000
"chr16.5","chr16",1,600000
"chr16.6","chr16",1,800000
"chr16.7","chr16",1,800000
"chr16.8","chr16",1,3400000
"chr16.9","chr16",1,700000
"chr16.10","chr16",1,1000000
"chr16.11","chr16",1,600000
"chr16.12","chr16",1,700000
"chr16.13","chr16",1,1800000
"chr16.14","chr16",1,800000
"chr16.15","chr16",1,1000000
"chr16.16","chr16",0.652173913043478,900000
"chr16.17","chr16",0.347826086956522,500000
"chr16.18","chr16",0.785714285714286,900000
"chr16.19","chr16",1,1000000
"chr16.20","chr16",0.4,800000
"chr16.21","chr16",1,900000
"chr16.22","chr16",1,1000000
"chr16.23","chr16",1,1000000
"chr16.24","chr16",0,700000
"chr16.25","chr16",1,1900000
"chr16.26","chr16",1,1200000
"chr16.27","chr16",0.893617021276596,1000000
"chr16.28","chr16",1,700000
"chr16.29","chr16",0,1200000
"chr16.30","chr16",0,900000
"chr16.31","chr16",1,1000000
"chr16.32","chr16",1,1800000
"chr16.33","chr16",0,500000
"chr16.34","chr16",0,700000
"chr16.35","chr16",0.137931034482759,600000
"chr16.36","chr16",0.862068965517241,700000
"chr16.37","chr16",0,1200000
"chr16.38","chr16",0,900000
"chr16.39","chr16",0,600000
"chr16.40","chr16",0,1800000
"chr16.41","chr16",0,1100000
"chr16.42","chr16",0,600000
"chr16.43","chr16",0,1000000
"chr16.44","chr16",0,3400000
"chr16.45","chr16",1,4200000
"chr16.46","chr16",1,500000
"chr16.47","chr16",1,800000
"chr16.48","chr16",1,900000
"chr16.49","chr16",0.769230769230769,800000
"chr16.50","chr16",0.8,800000
"chr16.51","chr16",0.433333333333333,900000
"chr16.52","chr16",1,2200000
"chr16.53","chr16",1,900000
"chr16.54","chr16",0.823529411764706,600000
"chr16.55","chr16",1,1400000
"chr16.56","chr16",1,1000000
"chr16.57","chr16",1,2800000
"chr16.58","chr16",0.631284916201117,800000
"chr16.59","chr16",0.807017543859649,1700000
"chr16.60","chr16",1,700000
"chr16.61","chr16",0.88,300000
"chr16.62","chr16",1,600000
"chr16.63","chr16",1,1300000
"chr16.64","chr16",1,1200000
"chr16.65","chr16",1,700000
"chr16.66","chr16",1,900000
"chr16.67","chr16",NA,NA
"chr16.68","chr16",NA,NA
"chr17.1","chr17",1,900000
"chr17.2","chr17",0,600000
"chr17.3","chr17",1,1000000
"chr17.4","chr17",1,900000
"chr17.5","chr17",1,1300000
"chr17.6","chr17",0.740740740740741,600000
"chr17.7","chr17",1,1100000
"chr17.8","chr17",1,400000
"chr17.9","chr17",1,500000
"chr17.10","chr17",0.8,400000
"chr17.11","chr17",1,1600000
"chr17.12","chr17",1,1100000
"chr17.13","chr17",1,1100000
"chr17.14","chr17",1,1100000
"chr17.15","chr17",1,2400000
"chr17.16","chr17",1,800000
"chr17.17","chr17",0.205882352941176,1300000
"chr17.18","chr17",0.794117647058823,200000
"chr17.19","chr17",0.205882352941176,200000
"chr17.20","chr17",1,1100000
"chr17.21","chr17",0,200000
"chr17.22","chr17",1,700000
"chr17.23","chr17",1,600000
"chr17.24","chr17",0.526315789473684,800000
"chr17.25","chr17",1,700000
"chr17.26","chr17",0,300000
"chr17.27","chr17",0,1100000
"chr17.28","chr17",0,600000
"chr17.29","chr17",0,1600000
"chr17.30","chr17",1,2200000
"chr17.31","chr17",1,700000
"chr17.32","chr17",1,400000
"chr17.33","chr17",1,1300000
"chr17.34","chr17",1,1200000
"chr17.35","chr17",1,900000
"chr17.36","chr17",1,1200000
"chr17.37","chr17",1,700000
"chr17.38","chr17",0,700000
"chr17.39","chr17",1,1100000
"chr17.40","chr17",0.916666666666667,200000
"chr17.41","chr17",0.833333333333333,600000
"chr17.42","chr17",1,600000
"chr17.43","chr17",1,900000
"chr17.44","chr17",1,800000
"chr17.45","chr17",0.869565217391304,700000
"chr17.46","chr17",1,800000
"chr17.47","chr17",1,300000
"chr17.48","chr17",1,600000
"chr17.49","chr17",1,3400000
"chr17.50","chr17",1,1000000
"chr17.51","chr17",1,1000000
"chr17.52","chr17",1,800000
"chr17.53","chr17",1,700000
"chr17.54","chr17",1,700000
"chr17.55","chr17",1,700000
"chr17.56","chr17",0.888888888888889,700000
"chr17.57","chr17",0.111111111111111,900000
"chr17.58","chr17",0.96,600000
"chr17.59","chr17",1,1300000
"chr17.60","chr17",1,1100000
"chr17.61","chr17",0.875,300000
"chr17.62","chr17",1,1000000
"chr17.63","chr17",1,1100000
"chr17.64","chr17",1,600000
"chr17.65","chr17",0.947368421052632,600000
"chr17.66","chr17",1,1000000
"chr17.67","chr17",1,1100000
"chr17.68","chr17",1,2000000
"chr17.69","chr17",1,800000
"chr17.70","chr17",1,800000
"chr17.71","chr17",1,500000
"chr17.72","chr17",1,1000000
"chr17.73","chr17",1,800000
"chr17.74","chr17",1,700000
"chr17.75","chr17",1,900000
"chr17.76","chr17",0.755555555555556,400000
"chr17.77","chr17",1,700000
"chr17.78","chr17",1,1400000
"chr17.79","chr17",0.808510638297872,500000
"chr17.80","chr17",1,600000
"chr17.81","chr17",0.883720930232558,600000
"chr17.82","chr17",NA,NA
"chr17.83","chr17",NA,NA
"chr17.84","chr17",NA,NA
"chr17.85","chr17",NA,NA
"chr17.86","chr17",NA,NA
"chr17.87","chr17",NA,NA
"chr18.1","chr18",1,800000
"chr18.2","chr18",1,1700000
